"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
Accenture,https://www.accenture.com/ie-en,https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2023,9.14,2.03,19.69,11.42,30.94,17.84,0.07,0.65,85,86,80,78,53,47,48,52,51,49,45,55,49.6,50.4
Actavo,https://actavo.com/,https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2023.pdf,2023,6.3,13.9,7.6,-83.3,,,,,45.7,37.2,,,,,,,,,,,12,88
"Adare Manor",https://www.adaremanor.com/,https://adaremanor2pro.wpenginepowered.com/wp-content/uploads/2024/01/Gender-Pay-Gap-Report-2023-Adare-Manor_-1.pdf,2023,10.23,3.85,101,47,0.01,0,,,3.67,5.92,3.11,5.92,46.5,53.5,52.02,47.98,43.43,56.57,36.55,63.45,,
Aecom,https://aecom.com/ie/,https://publications.aecom.com/media/files/gender_pay_gap/2023/aecom_ireland_gender-pay-gap-report_2023.pdf,2023,17.6,25.3,19.9,-25,-2,27.6,-11.1,-0.1,33,36,92,93,46,54,43,57,26,74,25,75,35,65
"Aer Lingus (all legal entities)",https://www.aerlingus.com/html/en-US/home.html,https://www.aerlingus.com/media/pdfs/AerLingusGenderPayGapReport-2023.pdf,2023,32.7,20.2,65.3,41.2,43.2,9.8,0.9,-2.5,70.9,31.5,2.5,7.5,55.6,44.4,53.7,46.3,53.2,46.8,24.2,75.8,46.66,53.34
AerCap,https://www.aercap.com/,https://www.aercap.com/_assets/_e78ed700b44da86de406d18d8cfb531f/aercap/db/655/13440/pdf/AerCap+Gender+Pay+Gap+Report+2023.pdf,2023,52,31,66,46,,,,,86,92,86,93,71,29,48,52,42,58,29,71,44,66
AerNav,https://www.airnav.ie/,https://www.airnav.ie/getattachment/3fec330c-ef04-4f9f-a79d-c7276e43e748/23-12-18-AirNav-Ireland-Gender-Pay-Gap-Report-2023.pdf?lang=en-IE&ext=.pdf,2023,15,26,,,-89,-179,,,,,0,0.4,57,53,18,82,23,77,21,79,27,73
AIB,https://aib.ie/,https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2023.pdf,2023,18.9,13.1,5,23.9,-0.6,-0.9,4.4,8.7,1.1,2.1,87.7,85.4,58.6,41.4,62.4,37.6,62.7,37.3,40.9,59.1,,
"AIG (both legal entities)",https://www.aig.ie/,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report%202023_ada-version.pdf,2023,28.2,29.4,53,31,,,-0.2,1.1,94,96,86,85,54,46,59,41,44,56,29,71,,
"Airbnb Ireland UC",https://www.airbnb.ie/,https://news.airbnb.com/wp-content/uploads/sites/4/2023/12/Airbnb-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,21.5,23.7,14.7,31.3,,,,,96.8,97.6,100,100,63.9,36.1,60.4,39.6,57.3,42.7,48.5,51.5,58,42
