"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Eli Lilly: Kinsale",https://www.lilly.com/,https://assets.ctfassets.net/r4uhiiu7kbc1/ADIeIiO5aezZdEvAHDdNI/fbb72c7bdfb6ca9814228713b87de94b/IE_Gender_Pay_Gap_December2023_PP-MG-IE-0086.pdf,2023,10,9.2,1,21.8,4,8.4,15.1,12.3,64,58,91,97,59,41,41,59,35,65,27,73,40,60
Elverys,https://www.elverys.ie/,https://web.archive.org/web/20240123223902/https://www.elverys.ie/medias/Gender-Pay-Gap-Report-Dec-2023.pdf?context=bWFzdGVyfHJvb3R8MzI4MjY3fGFwcGxpY2F0aW9uL3BkZnxhRFk1TDJnNVlTOHhNVGMzT0RJM01UQTRORFUzTkM5SFpXNWtaWElnVUdGNUlFZGhjQ0JTWlhCdmNuUWdSR1ZqSURJd01qTXVjR1JtfGI3Nzk0ZDU2Y2I3YTQ0ZmJkMGU2ZmI4MDk2M2ZmNTdhODgxOTA0MjYxN2FhMzM5NGJmYmQxZjJlY2EzNGUxYzE&attachment=true,2023,0.33,2.28,1.94,0,-3.81,-2.06,,,1.56,1.79,0.78,2.81,43.4,56.7,46.91,53.09,58.25,41.75,49.48,50.52,46,54
"Embecta Ireland",https://www.embecta.com/,https://investors.embecta.com/static-files/8f71e528-12e8-408b-9ee0-4fc2bc1a0477,2023,4.3,4.4,-7.7,,,,16.7,19.1,91.1,92.9,93.1,97.4,33.1,66.9,13.8,86.2,11.5,88.5,19.1,80.9,19,81
"Enable Ireland",https://enableireland.ie/,https://enableireland.ie/sites/default/files/publication/Enable%20Ireland%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,-3.65,-16.18,0,0,-12.07,-13.6,0,0,0,0,0,0,80.2,19.8,84.25,15.75,90.07,9.93,84.93,15.07,84.87,15.13
Energia,https://www.energia.ie/home,https://energiagroup.com/globalassets/sustainability-section/gender-pay-gap-reports/gender-pay-gap-report-2023.pdf,2023,28,14,40,11,,,,,92,93,,,49,51,53,47,51,49,27,73,45,55
Entain,https://www.entaingroup.com/,https://www.entaingroup.com/media/521bkhow/entain-roi-gender-pay-gap-2023.pdf,2023,1.7,0.1,18.3,4.6,-5.5,-5.1,,,75.5,79.2,5.4,4.8,63,37,66,34,60,40,67,33,,
"Enterprise Ireland",https://www.enterprise-ireland.com/en/,https://www.enterprise-ireland.com/documents/enterprise-ireland-gender-pay-gap-report-2023-board-pdf-en-112446.pdf,2023,17,23.8,,,1,21,27,3,,,,,66.47,33.53,73.65,26.35,51.5,48.5,40.72,59.28,59,41
"Enterprise Rent-A-Car",https://www.enterprise.ie/en/home.html,https://www.enterprise.ie/content/dam/eu-brand/eu-pdfs/ireland/GPG-Ireland-2023.pdf,2023,23.9,6.9,59.4,38.3,-50.9,-53.3,0.5,0.3,69.8,58,35.3,42.8,34.4,65.6,37.1,62.9,32.6,67.4,25.6,74.4,,
"EPS Water",https://epswater.ie/,https://epswater.ie/wp-content/uploads/2024/02/EPS-Gender-Pay-Gap-Report-2023_Final.pdf,2023,24.71,19.66,48,33,-7.25,-26.1,,,,,,,,,,,,,,,13.6,86.13
"Ergo Group",https://www.ergogroup.ie/,https://ergotechnologygroup.com/wp-content/uploads/2024/01/Ergo_Gender_Pay_Gap_Report_2023.pdf,2023,12.2,10.22,28.44,20.97,-16.76,-33.89,2.79,-8.83,51.85,48.54,25.93,22.65,16.33,83.67,31.96,68.04,19.59,80.41,15.31,84.69,,
"Ericsson Ireland",https://www.ericsson.com/en,https://www.ericsson.com/4afe64/assets/local/careers/career-areas/global-locations/documents/ericsson-ireland-gender-pay-gap-report-2023.pdf,2023,14.3,12.8,26.6,49.9,17.7,27.7,-6.4,-2,44.4,49.6,85.8,89.4,29,71,27,73,16,84,14,86,,
ESB,https://esb.ie/,https://cdn.esb.ie/media/docs/default-source/corporate-governance/gender-pay-gap-report-2023.pdf,2023,10.6,10.3,-0.6,-3,2.8,5,-3.8,0,60,50,,,34,66,28,72,25,75,20,80,27,73
"ESW (eShopWorld)",https://esw.com/,https://esw.com/wp-content/uploads/2023/12/2023-ESW-Gender-Pay-Gap-Report.pdf,2023,13,18,30,27,,,50,34,90,86,86,81,43,57,50,50,34,66,31,69,40,60
"Europcar Mobility Group",https://europcar-mobility-group.com/,https://www.gocar.ie/wp-content/uploads/2023/12/Gender-Pay-Gap-2022-2023.pdf,2023,0.3,-10.71,7.61,6.79,-55.97,-27.1,15.22,17.29,67,70,46,40,20,80,34,66,40,60,31,69,,
"Expleo Technology Ireland",https://expleo.com/global/en/,https://expleo.com/global/en/wp-content/documents/Expleo-Technology-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,14.8,12.5,33.3,48.9,,,-107.6,-55.5,11.7,17.9,100,100,42.3,57.7,37.7,62.3,37,63,14.7,85.3,33,67
"EY Ireland (excluding partners)",https://www.ey.com/en_ie,https://assets.ey.com/content/dam/ey-sites/ey-com/en_ie/topics/ey-ireland-gender-pay-gap/ey-ireland-gender-pay-gap-report-20231221.pdf,2023,10.2,10.3,19.4,16.7,-1,-20.1,4.1,0,68.12,64.6,100,100,48.5,51.5,55.6,44.4,48.2,51.8,43.3,56.7,49,51
"Failte Ireland",https://www.failteireland.ie/,https://www.failteireland.ie/FailteIreland/media/WebsiteStructure/Documents/4_Corporate_Documents/Gender-Pay-Gap-Report-2023.pdf,2023,9.5,,,,49.6,,,,,,,,76,24,83,17,77,23,72,28,77,23
"Family Carers Ireland",https://familycarers.ie/,https://familycarers.ie/media/3392/family-carers-ireland-gender-pay-gap-report-2023.pdf,2023,7.74,11.34,,,-2.5,8.63,,,,,,,89.55,10.45,91.85,8.15,86.66,13.34,84.44,15.56,87,13
FBD,https://www.fbd.ie/,https://www.fbdgroup.com/media/FBDGroup/files/FBD%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,28,29,42,26,21,29,-15,-61,90,89,31,32,,,,,,,,,,
"Fenergo Limited",https://www.fenergo.com/,https://web.archive.org/web/20240127193838/https://content.cdntwrk.com/files/aT0xNTEzNTk1JnY9MSZpc3N1ZU5hbWU9ZmluYWwtZmVuZXJnby1nZW5kZXItcGF5LWdhcC1yZXBvcnQtaXJlbGFuZC0yMDIzJmNtZD1kJnNpZz04NWFlODI5OTZmNTRiODczMzJhYmY4N2FmZGMxMzk5Yg%3D%3D,2023,6.5,17.2,-19.2,15.2,,,,,99,99.5,77,78,44,56,39,61,29,71,29,71,35,65
"Fidelity International",https://www.fidelityinternational.com/,https://www.fidelity.co.uk/media/PI%20UK/pdf/fidelity-gender-pay-gap-report-april-2022-to-april-2023.pdf,2023,15.3,17.1,25.4,29.2,-117.8,-125.7,43.6,4.4,72.3,83.4,80.2,85.6,41.9,58.1,46.9,53.1,45.3,54.7,38.3,61.7,47,53
"Fidelity Investments Ireland (both legal entities)",https://www.fidelityinvestments.ie/,https://cdn-static.findly.com/wp-content/uploads/sites/1329/2023/12/14161135/Fidelity-Investments-Ireland-Gender-Pay-Gap-Report-2023.pdf,2023,10.1,13,9.2,15.5,,,-2,0,83.8,85.7,93.3,93.8,41.6,58.4,39.6,60.4,29.8,70.2,26.7,73.3,,
"FINEOS Ireland",https://www.fineos.com/,https://web.archive.org/web/20240115154348/https://www.fineos.com/document/gender-pay-gap-report-2023/,2023,16.9,10.5,38.9,28,6.1,7.4,,,91.5,95.9,86.4,91.1,37.9,62.1,37.9,62.1,23,77,22.1,77.9,32.4,67.6
"Fingal County Council",https://www.fingal.ie/,https://www.fingal.ie/sites/default/files/2023-12/Gender%20Pay%20Gap%20Report%202023.pdf,2023,1.65,-9.31,,,-19.43,-0.33,8.61,29.11,,,0.4,0.23,60.35,39.65,19.75,80.25,57.61,42.39,48.38,51.62,47,53
Firstsource,https://www.firstsource.com/,https://www.firstsource.com/wp-content/uploads/2024/03/Gender-Pay-Report-2023.pdf,2023,10.23,0,21.08,18.34,,,,,19.87,25.99,,,50.98,49.02,47.23,52.77,46.72,53.28,47.35,52.65,48.07,51.93
"Fiserv Ireland",https://www.fiserv.com/en.html,https://www.fiserv.com/content/dam/fiserv-com/legal-documents/Fiserv%20Ireland%20Gender%20Pay%20Gap%20Report%202023.pdf,2023,18,27,9,8,,,20,20,98,98,91,93,48,52,36,64,16,84,18,81,,
"Fisheries Ireland",https://www.fisheriesireland.ie/,https://www.fisheriesireland.ie/sites/default/files/2023-12/gender-pay-gap-report_dec-2023.pdf,2023,-15.1,-20.8,,,-17.5,-15.5,-12.2,1.8,,,3,8,12,88,12,88,34,66,27,73,21,79
"Flextronics International",https://flex.com/,https://flex.com/downloads/ireland-gender-pay-gap-report,2023,34,22,55,0,,,,,95,97,29,56,31,69,0,100,33,67,0,100,,
Flogas,https://www.flogas.ie/,https://www.flogas.ie/assets/uploads/2023%20Gender%20Pay%20Gap%20Report%20final.pdf,2023,23.3,22.1,38.4,8.6,-11.5,-38.6,41.1,29.1,80.1,91.4,82.4,92.6,26.7,73.3,51.4,48.6,20,80,37.3,62.7,45,55
"Flutter (Head Office)",https://www.flutter.com/,https://www.flutter.com/media/h5ohywqp/flutter-irish-gender-pay-gap-report-2023.pdf,2023,3.9,3.5,9.5,3.5,-32.7,-9.8,13.3,1.1,91,92.5,94,94.4,31.1,68.9,31.4,68.6,27.6,72.3,28,72,29.5,70.5
"Flutter (Retail)",https://www.flutter.com/,https://www.flutter.com/media/h5ohywqp/flutter-irish-gender-pay-gap-report-2023.pdf,2023,-4.3,-4.4,-13.3,-9.6,-2.8,-2.5,-28.7,-25.8,89.2,80.7,82.8,79.5,57.3,42.7,59.9,40.1,67.2,32.8,67.5,32.5,62,36
FMI,https://fmi.ie/,https://fmi.ie/wp-content/uploads/2023/11/FMI-GENDER-PAY-GAP-2023.pdf,2023,-18.7,-1.5,-14,-80,-2,-3,13,-3,33,44,,,60,40,64,36,59,41,69,31,,
"Focus Ireland",https://www.focusireland.ie/,https://www.focusireland.ie/wp-content/uploads/2023/12/Gender-Pay-Gap-Reporting-2023.pdf,2023,10.81,6.16,,,4.54,4.54,17.17,3.57,,,,,80.62,19.38,84.5,15.5,77.34,22.66,71.88,28.13,78.6,21.4
Foróige,https://www.foroige.ie/,https://www.foroige.ie/sites/default/files/foroige_gender_pay_gap_2023.pdf,2023,6,4,,,4,11,,,,,,,76,24,81,19,74,26,73,27,76,24
"Freshways Food Company",https://freshwaysfoodco.ie/,https://freshwaysfoodco.ie/wp-content/uploads/2023/12/Summary-report-2023-1.pdf,2023,4.06,0.7,,,32.71,17.6,,,,,0.84,2.82,58,42,54,46,48,52,22,78,46,54
"Galco Group",https://galco.ie/,https://galco.ie/wp-content/uploads/2024/02/Gender-Pay-Gap-Report-2023.pdf,2023,-18.8,-25.5,,,,,,,0,0.4,0,1.1,5.4,94.6,1.4,98.6,5.4,94.6,14.9,85.1,6.8,93.2
"Galway and Roscommon Education and Training Board",https://gretb.ie/,https://gretb.ie/wp-content/uploads/2024/02/Gender-pay-gap-report-2023.pdf,2023,5,3.49,,,-0.74,0.72,,,,,,,49.27,50.73,49.85,50.15,50.08,49.92,49,51,68.65,31.35
"Galway City Council",https://www.galwaycity.ie/,https://www.galwaycity.ie/gccfiles/?r=/download&path=L1ZhY2FuY2llcy9HZW5kZXIgUGF5IEdhcC9HZW5kZXIgUGF5IEdhcCBSZXBvcnQgMjAyMy5wZGY%3D,2023,-6.26,-20.58,,,-24.01,-19.94,-6.9,-21.63,,,,,37.5,62.5,19.25,80.75,45.2,54.8,47.8,52.2,37,63
"Galway Clinic",https://www.blackrockhealth.com/,https://www.blackrockhealth.com/sites/default/files/2023-12/cBC95_blackrock_health_gender_pay_gap_report_2023_v7.pdf,2023,5.68,-8.07,59.65,8,17.9,5.28,47.58,27.82,15.94,9.22,0.15,0,71.88,28.13,77.38,22.62,83.21,16.79,70.41,29.59,75.55,24.45
"Galway County Council",https://www.galway.ie/en/,https://www.galway.ie/en/media/Gender%20Pay%20Gap%20Report%20for%202023.pdf,2023,2.95,-5.33,,,-4.08,-2.42,-3.26,2.01,,,,,41.73,58.27,9.88,90.12,64.82,35.18,35.04,64.96,38,62
"Gas Networks Ireland",https://www.gasnetworks.ie/,https://www.gasnetworks.ie/corporate/freedom-of-information/gender-pay-gap/Gender-pay-Gap-Report-2023_Final.pdf,2023,5.5,5.2,8,4.1,,,1.4,-6.1,92,89,11.9,15.6,35,65,38,62,31,69,30,70,34,66
"GE Healthcare Ireland",https://www.gehealthcare.co.uk/,https://www.gehealthcare.co.uk/-/jssmedia/gehc/us/images/about-us/sustainability/reports-hub/gender-pay-gap-information/ge-healthcare-ltd-ireland-gender-pay-gap-2023.pdf?rev=-1,2023,8,0.8,9.98,7.21,2.2,6.8,14.5,13.7,88.65,92.03,,,39,61,44,56,43,57,40,60,,
"General Motors IT Services (Ireland) Ltd",https://www.gm.com/,https://search-careers.gm.com/media/ptbflsai/gm-ireland-2023-pay-gap-reporting-narrative-final-draft-12-15-23-w_missing-table-23816051-1-v2.pdf,2023,9.94,1.11,44.87,4.92,,,7.69,2.36,90.4,87.6,86.5,84.2,20,80,20.6,79.4,20.8,79.2,18.3,81.7,,
"Gilead Sciences",https://www.gilead.com/,https://gileadirelandcareers.ie/wp-content/uploads/2023/12/Gilead-Ireland-GPG-Report-2023-20.12.23.pdf,2023,10.3,4.8,19.3,5.2,,,,,93.3,95.5,92,95.1,55,45,38,62,47,53,39,61,,
Glanbia,https://www.glanbia.com/,https://www.glanbia.com/sites/glanbia/files/glanbia/investors/results-presentations/2023/Glanbia-Gender-Pay-Gap-Ireland-2023.pdf,2023,18.2,19,18.5,23,58.1,68,5.8,-11.6,98,96,10,16,64,36,61,39,49,51,37,63,53,47
"Glen Dimplex Heating & Ventilation",https://www.glendimplex.com/en-ie,https://www.gdhv.com/legal/sites/default/files/2024-01/Gender%20Pay%20Gap%20Report_GDHV_Ireland_21.12.23.pdf,2023,25,19,43,25,-66,-9,4,3,97,95,5,6,,,,,,,,,41,59
"Gleneagle Hotel",https://www.gleneaglehotel.com/,https://www.gleneaglehotel.com/files/hotel/hotel-a/PDFS/The_Gleneagle_Group_-_Gender_Pay_Gap_Brochure_1920_x_1080_(2).pdf,2023,1.98,0.78,,,6.93,1.69,,,,,,,39,61,50,50,44,56,40,60,47,53
Glenveagh,https://glenveagh.ie/,https://glenveagh.ie/download/2023-GPG-Report,2023,29.2,8.5,66.6,26.5,,,-43,-57.1,76,64,72.1,50.9,27,73,35,65,30,70,20,80,28,72
"Global Shares",https://www.globalshares.com/ie/,https://www.jpmorgan.com/content/dam/jpmorgan/documents/global/disclosures/nov23-ireland-gender-pay-gap-report.pdf,2023,11.89,6.69,74.95,5.78,-91.17,-86.71,29.7,-28.33,86.86,77.63,77.71,72.81,40.59,59.41,52.48,47.52,51.59,48.51,29,71,,
"Go-Ahead Ireland",https://www.goaheadireland.ie/,https://images-goaheadireland.passenger-website.com/downloads/Gender%20Pay%20Gap%20Report%202023.pdf,2023,-0.96,6.32,-81.72,0,0.93,0.93,100,100,100,100,,,13.33,86.67,12.37,87.63,5.67,94.33,9.23,90.77,,
"Goodbody Stockbrokers",https://www.goodbody.ie/,https://www.goodbody.ie/docs/default-source/asset-management/goodbody_gender-pay-gap-repo0rt-2023_v6_nobleed.pdf?sfvrsn=803abd42_3,2023,38.13,46.81,100,100,64.03,70.63,37.57,71.51,0,1.86,67.81,44.65,54.95,45.05,57.78,42.22,33.33,66.67,15.56,84.44,,
"Google Cloud EMEA Limited",https://cloud.google.com/,https://static.googleusercontent.com/media/about.google/en//belonging/diversity-annual-report/2023/static/pdfs/google_ireland_2022_23_binary_gender_pay_gap_report.pdf,2023,-27,18,-72,15,,,,,100,100,100,100,50,50,49,51,33,67,29,71,,
"Google Ireland Limited",https://about.google/,https://static.googleusercontent.com/media/about.google/en//belonging/diversity-annual-report/2023/static/pdfs/google_ireland_2022_23_binary_gender_pay_gap_report.pdf,2023,7,9,14,14,-2,1,3,27,100,100,99,99,53,47,50,50,44,56,42,58,,
"Grant Thornton (excluding partners)",https://www.grantthornton.ie/,https://www.grantthornton.ie/globalassets/1.-member-firms/ireland/about-us/gender-pay-gap-report-2023.pdf,2023,3.05,-0.27,3.74,11.4,25.08,12.66,0,0,53.7,53.7,100,100,47.47,52.53,52.02,47.98,52.69,47.31,47.81,52.19,,
Guidewire,https://www.guidewire.com/,https://assets.ctfassets.net/vdinc3339dpx/7g5C7ZpkIBFpOYtJfCngtp/490129e48537ef2f0d8494050ef141af/RP_Ireland-Gender-Pay-Gap_EN_231220.pdf,2023,3.35,2.56,7.69,4.69,,,-2.22,-2.48,81,80,95.8,96.7,25,75,30,70,27,73,24,76,,
"H&M Hennes & Mauritz (Ireland) Limited",https://www2.hm.com/en_ie/index.html,https://www2.hm.com/content/dam/Customer-Service/Legal/Gender%20Pay%20Gap%20Results%20IE%202023%20Final.pdf,2023,0.1,-0.7,21.8,53.4,-0.7,-0.7,,,5.2,2.6,,,87,13,80,20,86,14,83,17,,
"Haleon (all legal entities)",https://www.haleon.com/,https://www.haleon.com/content/dam/haleon/corporate/documents/gender-pay-gap/2023-ireland-gender-pay-gap-report-final.pdf.downloadasset.pdf,2023,11.1,6.9,11.7,5.4,,,-0.1,1.4,94,94.6,88.6,87.3,47,53,33,67,32,68,22,78,,
"Harry Corry Interiors",https://www.harrycorry.com/,https://careers.harrycorry.com/GenderPayGapReport_2023-12-19.pdf,2023,-1.6,-0.3,-17,-54,0,0,0.6,0.2,100,100,,,91.2,8.8,91.2,8.8,92.65,7.35,92.5,7.5,,
"Hays Specialist Recruitment Ireland Limited",https://www.hays.ie/,https://www.hays.ie/documents/d/global/hays-ireland-gender-pay-gap-report,2023,22.8,9.5,35.9,18.4,,,,,81,85.5,21,24.2,66.7,33.3,66.7,33.3,69,31,48.8,51.2,,
"Health and Safety Authority (HSA)",https://www.hsa.ie/eng/,https://www.hsa.ie/eng/publications_and_forms/publications/corporate/hsa_gender_pay_gap_report_2023.pdf,2023,-1.54,1.52,,,-1.16,4.84,,,,,,,48,52,61,39,52,48,54,46,54,46
"Health Information and Quality Authority (HIQA)",https://www.hiqa.ie/,https://www.hiqa.ie/sites/default/files/2023-12/HIQA-Gender-Pay-Gap-Report-2023.pdf,2023,4.34,3.92,,,38.72,37.57,14.03,38.08,,,,,66,34,68,32,79,21,75,25,72,28
"Health Products Regulatory Authority (HPRA)",https://www.hpra.ie/,https://www.hpra.ie/docs/default-source/publications-forms/corporate-policy-documents/gender-pay-gap-report-2023.pdf?sfvrsn=4,2023,1.22,2.12,,,-90.56,-80.88,6.84,3.68,,,,,72,28,73,27,68,32,70,30,71,29
"Health Service Executive (HSE)",https://www.hse.ie/,https://www.hse.ie/eng/services/publications/human-resources/hse-gpg-report-2023.pdf,2023,12,0,,,9,-13,20,24,,,,,76,24,79,21,82,18,73,27,78,22
"HedgeServ Ireland",https://www.hedgeserv.com/,https://www.hedgeserv.com/wp-content/uploads/2024/01/File_GPG-Ireland-Report-2023.pdf,2023,9.6,4.4,5.92,5.83,31.2,31.8,1.76,2.5,93,91,91,92,39,61,41,59,41,59,31,69,,
"Heineken Ireland",https://www.heinekenireland.ie/,https://www.heinekenireland.ie/sustainability/reporting/for-publishing_gender-pay-gap-report_heineken-ireland_2023.pdf,2023,-0.28,6.98,5.6,4.1,,,11.95,21.5,89,95,53,57,37,63,37,63,30,70,38,62,36,64
Henkel,https://www.henkel.com/,https://www.henkel.com/resource/blob/1915014/e62be9d87f560be731e76aafd1eb1a27/data/henkel-gender-pay-gap-report-dec-2023-v7.pdf,2023,24.82,28.18,41.18,28.54,55.08,58.28,31.71,40.98,92.97,97.35,93.75,91.53,67.5,32.5,46.84,53.16,25.32,74.68,21.52,78.48,,
"Henry J Lyons",https://henryjlyons.com/,https://henryjlyons.com/uploads/images/Gender-Pay-Gap-Report-2023.pdf,2023,21,17,23,17,,,,,91,96,,,70,30,54,46,35,65,32,68,48,52
"Hermitage Clinic",https://www.blackrockhealth.com/,https://www.blackrockhealth.com/sites/default/files/2023-12/cBC95_blackrock_health_gender_pay_gap_report_2023_v7.pdf,2023,8.4,-3.33,15.9,0,12.05,-4.39,-86.95,-70.78,3.19,7.14,0.16,7.14,71.88,28.13,77.38,22.62,83.21,16.79,70.41,29.59,75.55,24.45
Hertz,https://www.hertz.ie/rentacar/reservation/,https://images.hertz.com/pdfs/Gender_Pay_Gap_Report_IE_2023.pdf,2023,20.5,21,17,20,-11,-11,38,28,93,85,41,39,62,38,60,40,50,50,36,64,52,48
"Hewlett Packard - HP Galway",https://www.hp.com/ie-en/home.html,https://www.hpe.com/psnow/downloadDoc/Gender%20pay%20gap%20%E2%80%93%20HPE%20Ireland%202023-a00134907eew.pdf?id=a00134907eew&isFutureVersion=true&ver=&form=false&preview=false&print=&hf=regular&r=&section=&prelaunchSection=&softrollSection=&deepLink=&utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=,2023,10.9,1.7,36.4,17.3,0,0,14.4,3.6,,,100,100,19.7,80.3,24.7,75.3,26,74,16.9,83.1,32.2,67.8
"Hewlett Packard - HPE",https://www.hp.com/ie-en/home.html,https://www.hpe.com/psnow/downloadDoc/Gender%20pay%20gap%20%E2%80%93%20HPE%20Ireland%202023-a00134907eew.pdf?id=a00134907eew&isFutureVersion=true&ver=&form=false&preview=false&print=&hf=regular&r=&section=&prelaunchSection=&softrollSection=&deepLink=&utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=,2023,13.1,13.5,25,20,-15.6,-19.5,-25,1,91.5,87.5,100,100,35.3,64.7,38.5,61.5,32.7,67.3,22.4,77.6,32.2,67.8
Hollister,https://www.hollister.ie/en-ie,https://www.hollister.ie/-/media/files/pdfs-for-download/ie/hollister-ulc-gender-pay-gap-report-2023.ashx,2023,19.9,13.9,34.6,5.6,18,24,20,20,86,86,86,86,57,43,51,49,32,68,21,79,40,60
"Horse Racing Ireland",https://www.hri.ie/,https://www.hri.ie/corporate/about-us/our-responsibilities/gender-pay-gap,2023,3.62,1.47,,,-64.3,-58.9,-1.3,1.27,,,,,,,,,,,,,46,54
"Houses of the Oireachtas Service",https://www.oireachtas.ie/,https://data.oireachtas.ie/ie/oireachtas/corporate/reports/2023/2023-12-20_gender-pay-gap-report-2023_en.pdf,2023,-4.09,-7.95,,,-18.41,-29.7,,,,,,,47.1,52.9,31.25,68.75,48.06,51.94,46.62,53.38,,
"HSBC Ireland (both legal entities)",https://www.hsbc.ie/,https://www.about.hsbc.ie/-/media/ireland/en/231220-gender-pay-gap-report-2023.pdf,2023,19,17,40,29,,,,,94,94,92,92,49,51,57,43,46,54,37,63,,
HubSpot,https://www.hubspot.com/,https://drive.google.com/file/d/1DUrw5wm6bAfxV_Z8nKw8x5FD7Q5bdGkP/view,2023,20.4,25.3,37.6,48.6,,,,,97.9,97.4,100,100,52.5,47.5,53,47,39.1,60.9,28.7,71.3,,
IADT,https://iadt.ie/,https://iadt.ie/wp-content/uploads/2023/12/IADT-Gender-Pay-Gap-Report-2023.pdf,2023,9.7,15.5,,,37,50.9,0.4,0,,,,,54,46,65,35,50,50,48,52,,
"Iarnród Éireann (Irish Rail)",https://www.irishrail.ie/,https://www.irishrail.ie/Admin/IrishRail/media/Content/About%20Us/Sustainability/2023-Iarnrod-Eireann-Gender-Pay-Gap.pdf,2023,-7.72,-12.9,,,,,,,,,,,9.9,90.1,5.5,94.5,14.5,85.5,16.5,83.5,11.6,88.4
Ibec,https://www.ibec.ie/,https://web.archive.org/web/20240121195657/https://www.ibec.ie/-/media/documents/about-us/gender-pay-gap-report-2023.pdf,2023,25.1,26.7,37.7,24.6,,,-39.5,-13.6,93.7,85.5,28.6,27.7,79.4,20.6,80.9,19.1,63.2,36.8,54.4,45.6,69.5,30.5
IBM,https://www.ibm.com/uk-en,https://www.ibm.com/downloads/cas/GJXYBRX4,2023,6.4,11.5,-4.9,11.3,9.1,2.6,1,10.3,94.8,96.4,100,100,36.7,63.3,30.8,69.2,23.6,76.4,23.9,76.1,,
"ICON Clinical Research Limited (Ireland)",https://www.iconplc.com/,https://icon.widen.net/content/t0ffc9sjw4/original/ICR_Ireland_2023_Gender_Pay_Gap_Report.pdf?u=mnr6mn&download=false,2023,16,13.2,48,22.8,-65.4,-48.8,-33.8,-29,80.8,81.8,75.3,80.3,68,32,66,34,67,33,52,48,63,37
"IDA Ireland",https://www.idaireland.com/,https://www.idaireland.com/getmedia/312fb46c-111e-40f2-819e-7cc06e4aeb65/IDA-Gender-Pay-Gap-Report-2023.pdf?ext=.pdf,2023,9,4,,,,,1.2,2.9,,,,,40.8,59.2,58.7,41.3,34.8,65.2,28.6,71.4,,
"IKEA Ireland",https://www.ikea.com/ie/en/,https://www.ikea.com/ie/en/files/pdf/dd/77/dd77cf17/ikea-ie-gender-report-2023-final.pdf,2023,4.8,1.1,22.5,8.2,-0.1,1.8,,,,,,,60.1,39.9,59,41,54.5,45.5,50,50,55.9,44.1
"Indeed Ireland Operations Ltd",https://ie.indeed.com/about,https://d341ezm4iqaae0.cloudfront.net/assets/2023/12/04181022/IE-Gender-Pay-Gap-Report-2023.pdf,2023,20.86,16.43,40.96,32.95,15.94,31.1,-9.58,0,99.51,99.69,98.21,97.34,60.1,39.9,51.4,48.6,44.1,55.9,40.3,59.7,49,51
"Infosys BPM",https://www.infosysbpm.com/,https://www.infosysbpm.com/ireland/documents/infosys-bpm-gender-pay-gap-report-2023.pdf,2023,3.4,0.1,5.8,1.4,1.1,4.6,1.7,0,79.8,82.2,4.5,5.8,46.2,53.8,38.1,61.9,42.7,57.3,40.7,59.3,,
Insomnia,https://www.insomnia.ie,https://www.insomnia.ie/media/files/INSOMNIA_GENDER_PAY_GAP_2023.pdf,2023,13.9,1.16,41.5,14.1,1.11,0.59,,,,,,,32.5,67.5,23.8,76.2,18.1,81.9,27.3,72.7,66.52,43.48
"Integer Holdings",https://www.integer.net/home/default.aspx,https://s24.q4cdn.com/416143379/files/doc_downloads/2023/01/Ireland-Pay-Gap-12-30-22-V2.pdf,2023,9.7,8.4,,,-11.7,-12.8,,,87,86,53,53,53,47,47,53,40,60,33,67,43,57
"Intel Ireland (Overall)",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,6.5,8.3,8.2,0.2,42.8,41.1,-12.8,-53,98,98.5,97.1,96.5,24.3,75.7,13.9,86.1,12.5,87.5,16.9,83.1,,
"Intel Ireland Limited",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,2.7,9,-9.2,1.9,26.1,26.1,-4.8,-1.3,98.7,99.4,97.1,97.3,24.3,75.7,13.4,86.6,9.7,90.3,17.5,82.5,,
"Intel R&D Ireland Limited",https://www.intel.ie/content/www/ie/en/company-overview/intel-in-ireland.html,https://www.intel.ie/content/dam/www/central-libraries/us/en/documents/2023-11/2023-ireland-gender-report-final-1.pdf,2023,23.7,30.2,49,45.1,,,-7.71,0.1,95.2,93.9,93.5,2.9,32.2,67.8,23.4,76.6,17.6,82.4,8.8,91.2,,
